Case #1
--Bob (Technician) 2006
--Carl (Technician) 2008
--Nancy (Manager) 2007
---Adam (Technician) 2012
-Paul (Manager) 2011
--Wendy (Technician) 2012
-Ryan (Manager) 2012
--Cathy (Technician) 2013
-Sam (Director) 2009
--Liam (Manager) 2011
---Fred (Technician) 2009
---Karl (Technician) 2006
--Mary (Manager) 2010
---Dan (Technician) 2010
---Katie (Technician) 2007
---Tom (Technician) 2012
--Matt (Manager) 2012
---Lilly (Technician) 2010
---Oscar (Technician) 2008
---Patty (Technician) 2006
---Vince (Technician) 2008
Case #7
Oscar (CEO) 2005
-Katie (VP) 2009
--Dan (Technician) 2012
--Liam (Manager) 2010
---Jack (Technician) 2006
--Matt (Director) 2006
---Amy (Technician) 2012
---Karl (Manager) 2011
----Bob (Technician) 2012
---Wendy (Manager) 2012
----Patty (Technician) 2009
--Ned (Director) 2011
---Fred (Technician) 2012
---Nancy (Technician) 2008
---Paul (Technician) 2011
---Sam (Manager) 2009
----Ed (Technician) 2008
Case #8
Bob (CEO) 2005
-Jill (VP) 2006
--Karl (Director) 2007
---Lilly (Technician) 2007
---Mary (Technician) 2011
---Wendy (Manager) 2010
----Ned (Technician) 2010
--Patty (Director) 2009
---Cathy (Manager) 2012
----Carl (Technician) 2011
----Dan (Technician) 2010
----Susan (Technician) 2007
--Paul (Manager) 2008
---Betty (Technician) 2006
---Jack (Technician) 2006
---Nancy (Technician) 2008
Case #9
Jill (CEO) 2005
-Adam (Director) 2006
--Ed (Technician) 2009
--Fred (Manager) 2008
---Matt (Technician) 2008
---Ryan (Technician) 2006
--Lilly (Manager) 2012
---Betty (Technician) 2013
--Nancy (Manager) 2008
---Katie (Technician) 2009
--Ned (Manager) 2012
---Susan (Technician) 2009
-Amy (Manager) 2007
--Vince (Technician) 2012
--Wendy (Technician) 2008
-Dan (Manager) 2008
--Jack (Technician) 2008
--Liam (Technician) 2013
Case #10
Karl (CEO) 2005
-Adam (VP) 2006
--Matt (Director) 2009
---Patty (Manager) 2008
----Ned (Technician) 2010
-Lilly (Director) 2008
--Betty (Manager) 2008
---Jill (Technician) 2013
---Mary (Technician) 2007
---Susan (Technician) 2013
--Liam (Manager) 2012
---Oscar (Technician) 2007
---Sam (Technician) 2007
--Paul (Technician) 2013
--Wendy (Technician) 2013
Case #11
Jack (CEO) 2005
-Nancy (VP) 2009
--Matt (VP) 2006
---Adam (Manager) 2009
----Ed (Technician) 2009
----Tom (Technician) 2008
---Carl (Director) 2008
----Amy (Manager) 2012
-----Fred (Technician) 2009
-----Karl (Technician) 2011
-----Susan (Technician) 2011
----Lilly (Manager) 2010
-----Vince (Technician) 2012
----Ned (Manager) 2008
-----Cathy (Technician) 2013
-----Liam (Technician) 2011
----Wendy (Manager) 2009
-----Mary (Technician) 2013
-----Patty (Technician) 2009
---Dan (Director) 2010
----Betty (Technician) 2011
----Jill (Manager) 2007
-----Ryan (Technician) 2008
----Katie (Technician) 2008
----Oscar (Technician) 2011
----Paul (Technician) 2012
Case #12
Karl (CEO) 2005
-Katie (VP) 2007
--Adam (Director) 2009
---Betty (Manager) 2007
----Jack (Technician) 2006
---Ryan (Technician) 2009
---Sam (Technician) 2006
--Bob (Manager) 2012
---Carl (Technician) 2009
---Mary (Technician) 2007
-Ned (Director) 2008
--Fred (Manager) 2008
---Vince (Technician) 2007
--Lilly (Manager) 2007
---Ed (Technician) 2010
--Oscar (Manager) 2010
---Amy (Technician) 2008
-Patty (Director) 2008
--Cathy (Manager) 2010
---Nancy (Technician) 2007
--Liam (Technician) 2013
-Tom (Manager) 2010
--Susan (Technician) 2013
Case #13
Tom (CEO) 2005
-Betty (VP) 2009
--Cathy (Manager) 2006
---Amy (Technician) 2013
---Bob (Technician) 2007
--Ed (VP) 2008
---Jack (Director) 2010
----Adam (Manager) 2010
-----Sam (Technician) 2007
----Susan (Technician) 2009
----Vince (Technician) 2012
---Liam (Technician) 2012
---Mary (Manager) 2007
----Jill (Technician) 2013
Case #14
Vince (CEO) 2005
-Carl (Director) 2006
--Matt (Manager) 2011
---Amy (Technician) 2008
-Dan (Manager) 2011
--Jack (Technician) 2010
--Katie (Technician) 2008
-Ed (Director) 2009
--Cathy (Technician) 2010
--Jill (Manager) 2007
---Susan (Technician) 2008
--Lilly (Manager) 2012
---Fred (Technician) 2010
--Patty (Manager) 2012
---Liam (Technician) 2009
--Wendy (Technician) 2008
-Mary (Manager) 2006
--Sam (Technician) 2011
-Paul (Manager) 2011
--Adam (Technician) 2007
--Bob (Technician) 2011
--Tom (Technician) 2013
Case #15
Ed (CEO) 2005
-Adam (Manager) 2012
--Amy (Technician) 2006
-Cathy (Director) 2010
--Katie (Manager) 2010
---Karl (Technician) 2013
--Matt (Technician) 2011
--Susan (Technician) 2013
-Dan (Manager) 2006
--Patty (Technician) 2007
--Vince (Technician) 2011
-Nancy (Director) 2009
--Oscar (Manager) 2010
---Wendy (Technician) 2012
--Paul (Technician) 2012
--Tom (Manager) 2012
---Carl (Technician) 2013
---Lilly (Technician) 2007
---Sam (Technician) 2013
Case #16
Cathy (CEO) 2005
-Katie (Manager) 2012
--Carl (Technician) 2010
--Dan (Technician) 2012
--Tom (Technician) 2011
-Liam (Technician) 2010
-Patty (Manager) 2012
--Ed (Technician) 2013
--Lilly (Technician) 2007
--Ned (Technician) 2006
-Ryan (Manager) 2011
--Amy (Technician) 2012
-Vince (Manager) 2010
--Betty (Technician) 2012
-Wendy (Manager) 2010
--Fred (Technician) 2007
--Nancy (Technician) 2008
Case #17
Adam (CEO) 2005
-Ed (VP) 2006
--Amy (Director) 2010
---Katie (Manager) 2012
----Sam (Technician) 2009
--Jack (Technician) 2011
--Matt (Director) 2011
---Dan (Manager) 2006
----Fred (Technician) 2012
---Tom (Technician) 2006
-Nancy (Director) 2008
--Mary (Manager) 2011
---Karl (Technician) 2010
---Paul (Technician) 2013
---Ryan (Technician) 2007
Case #18
Vince (CEO) 2005
-Carl (Manager) 2011
--Bob (Technician) 2006
-Jack (Director) 2010
--Cathy (Technician) 2013
--Liam (Technician) 2009
--Lilly (Technician) 2013
--Patty (Technician) 2010
--Paul (Manager) 2007
---Jill (Technician) 2012
-Matt (Manager) 2006
--Dan (Technician) 2010
--Tom (Technician) 2012
-Nancy (Manager) 2006
--Betty (Technician) 2009
--Susan (Technician) 2010
Case #19
Amy (CEO) 2005
-Carl (Manager) 2006
--Ryan (Technician) 2007
-Jack (Manager) 2012
--Adam (Technician) 2013
--Fred (Technician) 2008
--Ned (Technician) 2006
-Karl (Manager) 2007
--Betty (Technician) 2007
--Liam (Technician) 2012
-Mary (Director) 2009
--Cathy (Manager) 2009
---Bob (Technician) 2010
--Jill (Manager) 2011
---Ed (Technician) 2006
---Katie (Technician) 2010
--Matt (Technician) 2012
--Paul (Technician) 2011
--Wendy (Manager) 2009
---Patty (Technician) 2010
-Oscar (Manager) 2006
--Lilly (Technician) 2008
-Vince (Manager) 2012
--Dan (Technician) 2009
--Nancy (Technician) 2012
--Susan (Technician) 2013
Case #20
Wendy (CEO) 2005
-Jill (Director) 2008
--Adam (Manager) 2011
---Amy (Technician) 2007
---Lilly (Technician) 2009
---Ryan (Technician) 2010
--Ed (Manager) 2011
---Betty (Technician) 2008
--Jack (Manager) 2007
---Carl (Technician) 2006
---Patty (Technician) 2009
--Mary (Manager) 2010
---Cathy (Technician) 2006
---Karl (Technician) 2011
---Tom (Technician) 2012
-Paul (Director) 2007
--Nancy (Manager) 2012
---Bob (Technician) 2012
---Dan (Technician) 2010
---Ned (Technician) 2008
-Susan (Manager) 2012
--Fred (Technician) 2012
--Liam (Technician) 2010
--Matt (Technician) 2012
--Oscar (Technician) 2006
--Sam (Technician) 2008
Case #21
Paul (CEO) 2005
-Cathy (Manager) 2012
--Lilly (Technician) 2006
-Dan (Director) 2010
--Ed (Manager) 2011
---Carl (Technician) 2012
--Nancy (Technician) 2011
--Tom (Manager) 2011
---Amy (Technician) 2011
---Matt (Technician) 2011
-Karl (Director) 2006
--Jill (Manager) 2010
---Fred (Technician) 2011
--Ryan (Manager) 2012
---Katie (Technician) 2011
--Sam (Technician) 2009
Case #22
Jack (CEO) 2005
-Adam (Manager) 2011
--Tom (Technician) 2008
-Bob (Director) 2009
--Dan (Manager) 2007
---Wendy (Technician) 2009
--Jill (Technician) 2010
--Mary (Technician) 2012
-Carl (Manager) 2008
--Betty (Technician) 2007
--Oscar (Technician) 2008
-Vince (Director) 2009
--Fred (Manager) 2006
---Lilly (Technician) 2007
Case #23
Lilly (CEO) 2005
-Adam (Manager) 2009
--Katie (Technician) 2009
-Betty (Manager) 2010
--Bob (Technician) 2009
--Nancy (Technician) 2008
--Paul (Technician) 2007
-Karl (Manager) 2006
--Cathy (Technician) 2013
--Dan (Technician) 2012
--Susan (Technician) 2006
-Patty (Manager) 2006
--Wendy (Technician) 2012
-Ryan (Manager) 2008
--Jack (Technician) 2011
--Matt (Technician) 2008
Case #24
Carl (CEO) 2005
-Bob (Director) 2010
--Ned (Manager) 2010
---Amy (Technician) 2012
-Ed (Manager) 2007
--Dan (Technician) 2006
--Jill (Technician) 2009
--Katie (Technician) 2009
--Lilly (Technician) 2011
--Ryan (Technician) 2009
-Nancy (Manager) 2007
--Cathy (Technician) 2010
--Liam (Technician) 2012
-Susan (Manager) 2009
--Patty (Technician) 2011
Case #25
Bob (CEO) 2005
-Oscar (VP) 2006
--Paul (VP) 2006
---Cathy (Director) 2008
----Lilly (Manager) 2011
-----Carl (Technician) 2009
-----Dan (Technician) 2010
-----Matt (Technician) 2007
-----Sam (Technician) 2009
----Wendy (Manager) 2012
-----Katie (Technician) 2006
---Karl (Director) 2010
----Fred (Manager) 2008
-----Betty (Technician) 2008
----Jack (Technician) 2008
----Ryan (Technician) 2006
---Nancy (Manager) 2009
----Adam (Technician) 2012
Case #26
Sam (CEO) 2005
-Ryan (VP) 2006
--Katie (VP) 2006
---Bob (VP) 2008
----Fred (VP) 2009
-----Matt (Director) 2010
------Adam (Manager) 2009
-------Betty (Technician) 2011
-------Lilly (Technician) 2008
-------Vince (Technician) 2007
-------Wendy (Technician) 2012
------Amy (Manager) 2010
-------Mary (Technician) 2013
-------Paul (Technician) 2008
------Liam (Technician) 2007
------Nancy (Manager) 2011
-------Carl (Technician) 2006
------Tom (Technician) 2006
Case #27
Mary (CEO) 2005
-Ryan (VP) 2007
--Amy (VP) 2009
---Jill (Manager) 2010
----Jack (Technician) 2011
----Lilly (Technician) 2012
----Oscar (Technician) 2013
---Katie (Manager) 2006
----Betty (Technician) 2013
---Patty (Technician) 2012
---Sam (Technician) 2013
---Vince (Director) 2010
----Liam (Manager) 2009
-----Matt (Technician) 2009
----Wendy (Technician) 2012
Case #28
Amy (CEO) 2005
-Karl (Manager) 2008
--Betty (Technician) 2009
--Carl (Technician) 2010
--Patty (Technician) 2013
-Liam (Director) 2010
--Fred (Technician) 2007
--Jill (Manager) 2006
---Ned (Technician) 2008
--Sam (Technician) 2006
--Tom (Technician) 2008
-Susan (Director) 2007
--Adam (Manager) 2006
---Vince (Technician) 2009
--Bob (Manager) 2009
---Paul (Technician) 2011
--Oscar (Manager) 2009
---Dan (Technician) 2010
---Katie (Technician) 2013
Case #29
Adam (CEO) 2005
-Amy (VP) 2009
--Wendy (Director) 2009
---Jill (Manager) 2006
----Paul (Technician) 2012
-Nancy (VP) 2008
--Dan (VP) 2010
---Cathy (Manager) 2007
----Bob (Technician) 2013
----Patty (Technician) 2007
----Sam (Technician) 2006
---Ned (Director) 2007
----Katie (Manager) 2012
-----Betty (Technician) 2011
-----Fred (Technician) 2008
----Oscar (Manager) 2007
-----Ed (Technician) 2006
--Ryan (VP) 2008
---Vince (Director) 2011
----Matt (Manager) 2011
-----Carl (Technician) 2006
Case #30
Amy (CEO) 2005
-Lilly (VP) 2008
--Betty (VP) 2009
---Ed (Director) 2009
----Cathy (Technician) 2012
----Jill (Manager) 2006
-----Mary (Technician) 2010
----Karl (Manager) 2011
-----Paul (Technician) 2010
----Matt (Technician) 2010
----Oscar (Technician) 2007
----Susan (Technician) 2013
---Vince (Manager) 2012
----Nancy (Technician) 2012
--Carl (VP) 2006
---Adam (Director) 2008
----Liam (Manager) 2007
-----Jack (Technician) 2008
-----Ryan (Technician) 2011
-----Sam (Technician) 2011
-----Tom (Technician) 2009
-----Wendy (Technician) 2011
----Patty (Manager) 2009
-----Ned (Technician) 2007
Case #31
Vince (CEO) 2005
-Dan (VP) 2008
--Paul (Director) 2008
---Carl (Technician) 2013
---Ed (Technician) 2008
---Ned (Manager) 2006
----Betty (Technician) 2010
--Sam (Manager) 2010
---Amy (Technician) 2012
---Jack (Technician) 2011
---Oscar (Technician) 2009
---Patty (Technician) 2007
--Tom (Director) 2006
---Jill (Manager) 2010
----Cathy (Technician) 2009
----Liam (Technician) 2013
---Ryan (Manager) 2006
----Lilly (Technician) 2007
----Nancy (Technician) 2008
---Susan (Manager) 2007
----Bob (Technician) 2006
----Fred (Technician) 2007
----Katie (Technician) 2010
----Mary (Technician) 2006
----Matt (Technician) 2009
---Wendy (Manager) 2011
----Karl (Technician) 2008
Case #32
Betty (CEO) 2005
-Amy (VP) 2009
--Cathy (VP) 2008
---Jack (Director) 2010
----Ryan (Manager) 2008
-----Carl (Technician) 2012
-----Liam (Technician) 2010
-----Oscar (Technician) 2007
---Jill (Director) 2011
----Bob (Manager) 2012
-----Ned (Technician) 2007
----Ed (Manager) 2010
-----Patty (Technician) 2007
----Karl (Technician) 2012
----Lilly (Technician) 2012
----Mary (Manager) 2006
-----Sam (Technician) 2012
----Nancy (Technician) 2013
---Susan (Manager) 2006
----Adam (Technician) 2006
----Fred (Technician) 2013
----Paul (Technician) 2012
----Vince (Technician) 2012
---Wendy (Manager) 2006
----Katie (Technician) 2008
----Matt (Technician) 2008
----Tom (Technician) 2007
Case #33
Fred (CEO) 2005
-Lilly (Manager) 2007
--Paul (Technician) 2008
-Oscar (Director) 2006
--Jack (Manager) 2006
---Adam (Technician) 2013
---Ned (Technician) 2010
--Liam (Manager) 2010
---Amy (Technician) 2007
---Bob (Technician) 2009
--Vince (Manager) 2007
---Betty (Technician) 2013
-Susan (Director) 2010
--Ed (Manager) 2009
---Mary (Technician) 2012
--Patty (Technician) 2010
Case #34
Bob (CEO) 2005
-Lilly (VP) 2006
--Sam (Director) 2006
---Amy (Manager) 2012
----Tom (Technician) 2011
-Mary (VP) 2006
--Carl (Manager) 2011
---Paul (Technician) 2010
---Susan (Technician) 2013
---Wendy (Technician) 2006
--Dan (Director) 2009
---Jill (Manager) 2009
----Ryan (Technician) 2009
--Karl (Manager) 2006
---Betty (Technician) 2008
---Jack (Technician) 2011
---Katie (Technician) 2010
---Nancy (Technician) 2008
-Matt (Director) 2011
--Cathy (Technician) 2012
--Ed (Manager) 2010
---Adam (Technician) 2012
---Vince (Technician) 2013
--Liam (Manager) 2010
---Ned (Technician) 2009
---Oscar (Technician) 2010
---Patty (Technician) 2013
Case #35
Amy (CEO) 2005
-Adam (Director) 2007
--Carl (Manager) 2012
---Wendy (Technician) 2006
--Mary (Technician) 2010
--Sam (Manager) 2012
---Ed (Technician) 2011
---Karl (Technician) 2007
-Betty (Director) 2008
--Cathy (Manager) 2008
---Fred (Technician) 2010
---Jill (Technician) 2013
---Katie (Technician) 2007
---Nancy (Technician) 2013
---Oscar (Technician) 2006
---Susan (Technician) 2011
--Liam (Manager) 2012
---Patty (Technician) 2011
---Paul (Technician) 2008
-Tom (VP) 2008
--Ned (Director) 2007
---Bob (Technician) 2006
---Dan (Technician) 2009
---Jack (Manager) 2012
----Vince (Technician) 2010
---Lilly (Technician) 2012
---Matt (Manager) 2009
----Ryan (Technician) 2010
Case #36
Amy (CEO) 2005
-Ed (Director) 2008
--Ned (Manager) 2007
---Carl (Technician) 2007
-Katie (Manager) 2007
--Lilly (Technician) 2008
-Paul (Manager) 2011
--Bob (Technician) 2011
-Tom (Director) 2011
--Fred (Technician) 2009
--Ryan (Manager) 2011
---Karl (Technician) 2010
--Susan (Manager) 2008
---Matt (Technician) 2010
Case #37
Liam (CEO) 2005
-Jill (Director) 2006
--Katie (Technician) 2008
--Nancy (Technician) 2010
--Ryan (Manager) 2010
---Jack (Technician) 2010
--Vince (Technician) 2006
-Karl (Director) 2010
--Bob (Manager) 2011
---Lilly (Technician) 2008
--Cathy (Manager) 2012
---Mary (Technician) 2011
--Fred (Manager) 2009
---Adam (Technician) 2006
--Ned (Manager) 2009
---Amy (Technician) 2011
---Oscar (Technician) 2010
---Susan (Technician) 2011
--Tom (Manager) 2009
---Betty (Technician) 2011
---Carl (Technician) 2012
---Ed (Technician) 2010
---Paul (Technician) 2011
---Sam (Technician) 2007
---Wendy (Technician) 2007
-Patty (Manager) 2009
--Matt (Technician) 2013
Case #38
Betty (CEO) 2005
-Karl (Director) 2011
--Adam (Manager) 2006
---Bob (Technician) 2012
---Dan (Technician) 2012
--Cathy (Technician) 2011
--Mary (Technician) 2012
--Tom (Manager) 2009
---Amy (Technician) 2009
-Nancy (Manager) 2009
--Carl (Technician) 2009
--Fred (Technician) 2013
-Ryan (Manager) 2011
--Jill (Technician) 2013
Case #39
Paul (CEO) 2005
-Dan (Director) 2008
--Oscar (Manager) 2010
---Carl (Technician) 2006
---Cathy (Technician) 2009
--Tom (Technician) 2007
-Fred (Director) 2008
--Bob (Manager) 2008
---Patty (Technician) 2010
--Jill (Manager) 2011
---Susan (Technician) 2009
--Katie (Manager) 2007
---Jack (Technician) 2008
--Nancy (Manager) 2012
---Ed (Technician) 2012
---Ryan (Technician) 2010
---Sam (Technician) 2010
--Vince (Manager) 2009
---Betty (Technician) 2010
---Karl (Technician) 2011
---Liam (Technician) 2006
---Ned (Technician) 2009
-Mary (Technician) 2010
-Wendy (Manager) 2008
--Adam (Technician) 2010
Case #40
Vince (CEO) 2005
-Katie (Manager) 2012
--Mary (Technician) 2010
--Wendy (Technician) 2009
-Ryan (Manager) 2008
--Ned (Technician) 2012
--Sam (Technician) 2009
-Tom (Director) 2007
--Liam (Manager) 2008
---Matt (Technician) 2012
--Nancy (Manager) 2008
---Betty (Technician) 2010
---Dan (Technician) 2007
--Oscar (Manager) 2008
---Lilly (Technician) 2007
--Patty (Manager) 2012
---Bob (Technician) 2006
--Paul (Manager) 2008
---Amy (Technician) 2010
---Cathy (Technician) 2006
---Ed (Technician) 2011
---Jill (Technician) 2013
---Karl (Technician) 2013
Case #41
Wendy (CEO) 2005
-Adam (VP) 2008
--Cathy (Manager) 2008
---Amy (Technician) 2012
---Bob (Technician) 2011
---Vince (Technician) 2006
--Oscar (Manager) 2008
---Ed (Technician) 2010
---Ryan (Technician) 2013
---Sam (Technician) 2009
--Patty (Technician) 2009
--Tom (Director) 2007
---Carl (Manager) 2011
----Fred (Technician) 2011
---Karl (Technician) 2006
---Liam (Technician) 2009
-Paul (Manager) 2007
--Dan (Technician) 2011
-Susan (Technician) 2006
Case #42
Nancy (CEO) 2005
-Matt (VP) 2006
--Lilly (Director) 2010
---Karl (Manager) 2006
----Bob (Technician) 2012
----Carl (Technician) 2012
----Dan (Technician) 2008
----Susan (Technician) 2008
--Sam (VP) 2009
---Jill (Director) 2007
----Betty (Technician) 2011
----Cathy (Manager) 2007
-----Amy (Technician) 2007
-----Liam (Technician) 2012
-----Patty (Technician) 2011
----Ed (Manager) 2006
-----Katie (Technician) 2009
---Ryan (Director) 2011
----Oscar (Manager) 2009
-----Fred (Technician) 2010
-Wendy (Manager) 2007
--Tom (Technician) 2013
Case #43
Katie (CEO) 2005
-Paul (VP) 2010
--Mary (Director) 2008
---Amy (Technician) 2011
---Cathy (Technician) 2007
---Jack (Manager) 2010
----Susan (Technician) 2010
---Wendy (Manager) 2012
----Nancy (Technician) 2011
-Vince (Director) 2009
--Bob (Manager) 2012
---Ed (Technician) 2011
--Patty (Manager) 2006
---Dan (Technician) 2007
---Ryan (Technician) 2010
--Tom (Manager) 2006
---Fred (Technician) 2012
---Karl (Technician) 2009
Case #44
Mary (CEO) 2005
-Fred (VP) 2007
--Paul (Director) 2009
---Oscar (Manager) 2007
----Nancy (Technician) 2011
-Liam (VP) 2007
--Dan (VP) 2007
---Carl (Director) 2009
----Adam (Technician) 2009
----Amy (Technician) 2011
----Ed (Manager) 2012
-----Ned (Technician) 2013
----Jack (Technician) 2013
----Susan (Technician) 2007
---Lilly (Director) 2007
----Bob (Manager) 2011
-----Katie (Technician) 2011
Case #45
Paul (CEO) 2005
-Carl (Director) 2010
--Tom (Manager) 2012
---Matt (Technician) 2008
--Wendy (Manager) 2010
---Fred (Technician) 2010
-Patty (Director) 2008
--Bob (Manager) 2012
---Amy (Technician) 2011
--Cathy (Manager) 2011
---Betty (Technician) 2007
--Lilly (Manager) 2009
---Adam (Technician) 2008
--Mary (Technician) 2009
--Oscar (Manager) 2009
---Jill (Technician) 2007
-Vince (Manager) 2010
--Ed (Technician) 2007
--Jack (Technician) 2012
--Karl (Technician) 2011
--Liam (Technician) 2008
Case #46
Mary (CEO) 2005
-Ed (VP) 2009
--Fred (Director) 2007
---Matt (Manager) 2006
----Ned (Technician) 2011
--Katie (VP) 2007
---Betty (Director) 2008
----Jack (Manager) 2010
-----Lilly (Technician) 2009
----Patty (Technician) 2008
---Bob (Manager) 2009
----Liam (Technician) 2010
---Jill (Manager) 2011
----Carl (Technician) 2006
----Karl (Technician) 2007
Case #47
Sam (CEO) 2005
-Jill (Director) 2008
--Bob (Manager) 2012
---Jack (Technician) 2008
--Dan (Manager) 2009
---Betty (Technician) 2013
---Fred (Technician) 2009
---Wendy (Technician) 2006
--Paul (Technician) 2009
-Lilly (Manager) 2010
--Amy (Technician) 2006
--Ed (Technician) 2007
--Matt (Technician) 2011
--Nancy (Technician) 2011
--Patty (Technician) 2008
-Oscar (Manager) 2010
--Cathy (Technician) 2012
--Mary (Technician) 2011
--Ryan (Technician) 2011
Case #48
Matt (CEO) 2005
-Carl (Manager) 2006
--Karl (Technician) 2011
--Katie (Technician) 2013
--Lilly (Technician) 2010
--Ned (Technician) 2010
-Ed (Manager) 2007
--Betty (Technician) 2013
--Cathy (Technician) 2009
--Jill (Technician) 2006
--Mary (Technician) 2006
-Fred (Manager) 2012
--Bob (Technician) 2006
-Jack (Technician) 2009
-Liam (Technician) 2011
-Sam (Director) 2007
--Adam (Technician) 2006
--Dan (Manager) 2006
---Amy (Technician) 2006
--Nancy (Manager) 2010
---Tom (Technician) 2013
Case #49
Betty (CEO) 2005
-Cathy (Director) 2007
--Adam (Manager) 2011
---Ed (Technician) 2013
-Jill (Manager) 2010
--Dan (Technician) 2007
--Jack (Technician) 2013
--Lilly (Technician) 2006
--Mary (Technician) 2011
--Nancy (Technician) 2008
-Katie (Manager) 2011
--Liam (Technician) 2011
-Matt (Manager) 2012
--Amy (Technician) 2011
-Paul (Manager) 2011
--Ned (Technician) 2008
Case #50
Betty (CEO) 2005
-Lilly (VP) 2009
--Patty (VP) 2009
---Jill (Director) 2006
----Carl (Manager) 2012
-----Liam (Technician) 2013
----Mary (Technician) 2006
----Nancy (Manager) 2007
-----Sam (Technician) 2007
----Paul (Technician) 2006
----Vince (Manager) 2009
-----Amy (Technician) 2011
--Susan (Director) 2007
---Ryan (Manager) 2009
----Adam (Technician) 2008
----Karl (Technician) 2011
-Ned (Manager) 2007
--Matt (Technician) 2006
Case #51
Katie (CEO) 2005
-Amy (Manager) 2007
--Bob (Technician) 2012
--Carl (Technician) 2010
-Cathy (Director) 2011
--Fred (Technician) 2007
--Mary (Manager) 2007
---Tom (Technician) 2013
--Matt (Technician) 2011
--Ned (Technician) 2008
--Paul (Technician) 2010
-Oscar (Technician) 2012
-Ryan (Director) 2006
--Wendy (Manager) 2009
---Dan (Technician) 2013
-Vince (Manager) 2011
--Lilly (Technician) 2006
Case #52
Amy (CEO) 2005
-Ed (Director) 2009
--Betty (Technician) 2008
--Fred (Technician) 2010
--Patty (Manager) 2009
---Adam (Technician) 2008
-Karl (Director) 2009
--Liam (Technician) 2009
--Susan (Manager) 2006
---Nancy (Technician) 2006
-Paul (Director) 2007
--Bob (Manager) 2007
---Cathy (Technician) 2008
---Mary (Technician) 2010
---Vince (Technician) 2006
--Ned (Technician) 2008
--Oscar (Manager) 2006
---Katie (Technician) 2007
--Wendy (Manager) 2011
---Dan (Technician) 2010
---Matt (Technician) 2011
---Sam (Technician) 2013
Case #53
Mary (CEO) 2005
-Katie (Technician) 2009
-Matt (Director) 2007
--Adam (Manager) 2007
---Jill (Technician) 2011
---Karl (Technician) 2008
--Liam (Manager) 2008
---Bob (Technician) 2010
---Dan (Technician) 2007
--Tom (Manager) 2012
---Amy (Technician) 2007
-Vince (Director) 2009
--Cathy (Technician) 2008
--Nancy (Manager) 2006
---Ned (Technician) 2012
--Patty (Technician) 2007
Case #54
Ed (CEO) 2005
-Adam (Director) 2011
--Karl (Manager) 2007
---Nancy (Technician) 2008
--Vince (Manager) 2009
---Ryan (Technician) 2009
-Mary (VP) 2007
--Carl (Director) 2007
---Tom (Manager) 2006
----Katie (Technician) 2006
---Wendy (Manager) 2012
----Jill (Technician) 2010
--Liam (Manager) 2010
---Amy (Technician) 2013
--Lilly (Manager) 2010
---Sam (Technician) 2012
--Paul (Technician) 2009
Case #55
Lilly (CEO) 2005
-Adam (Technician) 2010
-Betty (Manager) 2006
--Cathy (Technician) 2013
--Karl (Technician) 2008
--Katie (Technician) 2009
--Matt (Technician) 2012
